Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
1;7.3.2;;;;;;;
2;7.3.2;12.3.3;;;;;;
3;7.3.2;12.3.3;3.2.2;;;;;
4;7.3.2;12.3.3;3.2.2;16.2.1;;;;
5;7.3.2;12.3.3;3.2.2;16.2.1;2.2.2;;;
6;7.3.2;12.3.3;3.2.2;16.2.1;2.2.2;6.3.3;;
7;7.3.2;12.3.3;3.2.2;16.2.1;2.2.2;6.3.3;5.1.3;
8;7.3.2;12.3.3;3.2.2;16.2.1;2.2.2;6.3.3;5.1.3;17.3.2
9;11.1.3;12.3.3;3.2.2;16.2.1;2.2.2;6.3.3;5.1.3;17.3.2
10;11.1.3;18.1.2;3.2.2;16.2.1;2.2.2;6.3.3;5.1.3;17.3.2
11;11.1.3;18.1.2;6.4.3;16.2.1;2.2.2;6.3.3;5.1.3;17.3.2
12;11.1.3;18.1.2;6.4.3;8.2.2;2.2.2;6.3.3;5.1.3;17.3.2
13;11.1.3;18.1.2;6.4.3;8.2.2;7.1.1;6.3.3;5.1.3;17.3.2
14;11.1.3;18.1.2;6.4.3;8.2.2;7.1.1;18.4.1;5.1.3;17.3.2
15;11.1.3;18.1.2;6.4.3;8.2.2;7.1.1;18.4.1;12.1.1;17.3.2
16;11.1.3;18.1.2;6.4.3;8.2.2;7.1.1;18.4.1;12.1.1;11.4.3
17;9.2.1;18.1.2;6.4.3;8.2.2;7.1.1;18.4.1;12.1.1;11.4.3
18;9.2.1;2.4.3;6.4.3;8.2.2;7.1.1;18.4.1;12.1.1;11.4.3
19;9.2.1;2.4.3;3.3.1;8.2.2;7.1.1;18.4.1;12.1.1;11.4.3
20;9.2.1;2.4.3;3.3.1;4.1.2;7.1.1;18.4.1;12.1.1;11.4.3
21;9.2.1;2.4.3;3.3.1;4.1.2;7.4.3;18.4.1;12.1.1;11.4.3
22;9.2.1;2.4.3;3.3.1;4.1.2;7.4.3;4.2.1;12.1.1;11.4.3
23;9.2.1;2.4.3;3.3.1;4.1.2;7.4.3;4.2.1;1.1.3;11.4.3
24;9.2.1;2.4.3;3.3.1;4.1.2;7.4.3;4.2.1;1.1.3;3.4.3
25;4.3.3;2.4.3;3.3.1;4.1.2;7.4.3;4.2.1;1.1.3;3.4.3
26;4.3.3;14.3.3;3.3.1;4.1.2;7.4.3;4.2.1;1.1.3;3.4.3
27;4.3.3;14.3.3;8.3.1;4.1.2;7.4.3;4.2.1;1.1.3;3.4.3
28;4.3.3;14.3.3;8.3.1;8.1.3;7.4.3;4.2.1;1.1.3;3.4.3
29;4.3.3;14.3.3;8.3.1;8.1.3;15.4.1;4.2.1;1.1.3;3.4.3
30;4.3.3;14.3.3;8.3.1;8.1.3;15.4.1;2.3.3;1.1.3;3.4.3
31;4.3.3;14.3.3;8.3.1;8.1.3;15.4.1;2.3.3;16.1.2;3.4.3
32;4.3.3;14.3.3;8.3.1;8.1.3;15.4.1;2.3.3;16.1.2;10.2.3
33;13.1.3;14.3.3;8.3.1;8.1.3;15.4.1;2.3.3;16.1.2;10.2.3
34;13.1.3;6.2.3;8.3.1;8.1.3;15.4.1;2.3.3;16.1.2;10.2.3
35;13.1.3;6.2.3;1.3.1;8.1.3;15.4.1;2.3.3;16.1.2;10.2.3
36;13.1.3;6.2.3;1.3.1;7.2.3;15.4.1;2.3.3;16.1.2;10.2.3
37;13.1.3;6.2.3;1.3.1;7.2.3;17.2.1;2.3.3;16.1.2;10.2.3
38;13.1.3;6.2.3;1.3.1;7.2.3;17.2.1;12.4.3;16.1.2;10.2.3
39;13.1.3;6.2.3;1.3.1;7.2.3;17.2.1;12.4.3;13.3.2;10.2.3
40;13.1.3;6.2.3;1.3.1;7.2.3;17.2.1;12.4.3;13.3.2;14.4.3
41;6.1.2;6.2.3;1.3.1;7.2.3;17.2.1;12.4.3;13.3.2;14.4.3
42;6.1.2;17.1.1;1.3.1;7.2.3;17.2.1;12.4.3;13.3.2;14.4.3
43;6.1.2;17.1.1;5.4.1;7.2.3;17.2.1;12.4.3;13.3.2;14.4.3
44;6.1.2;17.1.1;5.4.1;10.1.1;17.2.1;12.4.3;13.3.2;14.4.3
45;6.1.2;17.1.1;5.4.1;10.1.1;9.4.3;12.4.3;13.3.2;14.4.3
46;6.1.2;17.1.1;5.4.1;10.1.1;9.4.3;3.1.1;13.3.2;14.4.3
47;6.1.2;17.1.1;5.4.1;10.1.1;9.4.3;3.1.1;13.4.3;14.4.3
48;6.1.2;17.1.1;5.4.1;10.1.1;9.4.3;3.1.1;13.4.3;14.2.3
49;10.3.3;17.1.1;5.4.1;10.1.1;9.4.3;3.1.1;13.4.3;14.2.3
50;10.3.3;15.2.2;5.4.1;10.1.1;9.4.3;3.1.1;13.4.3;14.2.3
51;10.3.3;15.2.2;2.1.2;10.1.1;9.4.3;3.1.1;13.4.3;14.2.3
52;10.3.3;15.2.2;2.1.2;10.4.3;9.4.3;3.1.1;13.4.3;14.2.3
53;10.3.3;15.2.2;2.1.2;10.4.3;1.4.3;3.1.1;13.4.3;14.2.3
54;10.3.3;15.2.2;2.1.2;10.4.3;1.4.3;14.1.3;13.4.3;14.2.3
55;10.3.3;15.2.2;2.1.2;10.4.3;1.4.3;14.1.3;8.4.2;14.2.3
56;10.3.3;15.2.2;2.1.2;10.4.3;1.4.3;14.1.3;8.4.2;15.3.3
57;9.1.2;15.2.2;2.1.2;10.4.3;1.4.3;14.1.3;8.4.2;15.3.3
58;9.1.2;5.2.1;2.1.2;10.4.3;1.4.3;14.1.3;8.4.2;15.3.3
59;9.1.2;5.2.1;16.3.1;10.4.3;1.4.3;14.1.3;8.4.2;15.3.3
60;9.1.2;5.2.1;16.3.1;17.4.1;1.4.3;14.1.3;8.4.2;15.3.3
61;9.1.2;5.2.1;16.3.1;17.4.1;16.4.1;14.1.3;8.4.2;15.3.3
62;9.1.2;5.2.1;16.3.1;17.4.1;16.4.1;18.2.1;8.4.2;15.3.3
63;9.1.2;5.2.1;16.3.1;17.4.1;16.4.1;18.2.1;13.2.2;15.3.3
64;9.1.2;5.2.1;16.3.1;17.4.1;16.4.1;18.2.1;13.2.2;12.2.3
65;18.3.2;5.2.1;16.3.1;17.4.1;16.4.1;18.2.1;13.2.2;12.2.3
66;18.3.2;11.2.1;16.3.1;17.4.1;16.4.1;18.2.1;13.2.2;12.2.3
67;18.3.2;11.2.1;5.3.1;17.4.1;16.4.1;18.2.1;13.2.2;12.2.3
68;18.3.2;11.2.1;5.3.1;15.1.2;16.4.1;18.2.1;13.2.2;12.2.3
69;18.3.2;11.2.1;5.3.1;15.1.2;11.3.1;18.2.1;13.2.2;12.2.3
70;18.3.2;11.2.1;5.3.1;15.1.2;11.3.1;4.4.2;13.2.2;12.2.3
71;18.3.2;11.2.1;5.3.1;15.1.2;11.3.1;4.4.2;9.3.2;12.2.3
72;18.3.2;11.2.1;5.3.1;15.1.2;11.3.1;4.4.2;9.3.2;1.2.2
73;18.3.2;11.2.1;5.3.1;15.1.2;11.3.1;4.4.2;9.3.2;1.2.2
74;18.3.2;11.2.1;5.3.1;15.1.2;11.3.1;4.4.2;9.3.2;1.2.2
75;18.3.2;11.2.1;5.3.1;15.1.2;11.3.1;4.4.2;9.3.2;1.2.2
